trial,booster,colsample_bylevel,colsample_bytree,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,value,time,dataset
43,gbtree,0.8211303685935976,0.49761446863422654,0.0505544471924252,15,53.402444967751165,363,0.019343851753942543,384.18813972238587,0.855126054450448,0.8278519679930796,0.394952,43980
44,gbtree,0.6042018979582857,0.9220423253436534,0.0035096371826253106,12,14.09673134216344,1719,35.069231696703525,0.08323339438442744,0.813153300843623,0.8282253099769321,2.010388,43980
45,gbtree,0.960049573640644,0.4554509100723319,0.002523061261149715,14,12.593407951838962,1792,238.71514635028188,2.7582100003239063,0.25812823861022377,0.5,0.898391,43980
46,gbtree,0.8332632349806788,0.8018996235501441,0.0041240856193389235,5,86.40984392178387,1267,19.850035422145805,0.0035256290689538567,0.4699080787735484,0.7831622873414071,0.872022,43980
47,gbtree,0.2936536131420847,0.480732010041663,0.00016118703499847542,7,113.73843121030407,994,0.0009106883839210573,37.07351723314314,0.6621466617428017,0.7702407187139562,0.675797,43980
48,gbtree,0.764993781725197,0.857488047432285,0.00023133958165049372,11,10.240901808252579,1240,0.0003513912398082295,0.003228689523591492,0.3130801045862481,0.8340077854671281,2.023926,43980
49,gbtree,0.8027025482071533,0.9888008510582968,0.002229183702678113,13,121.30056932775005,1974,0.03345238872352273,0.0031695988468550167,0.5279816103001682,0.7676660539215686,1.199191,43980
50,gbtree,0.20908291581393526,0.5941000834326873,0.010266102757225537,14,15.12208025288122,1557,0.1394346680903297,0.0021768056404084728,0.5681665069352322,0.8640186226451366,2.276559,43980
51,gbtree,0.4998964636189633,0.9697380387796335,0.00026505536025006127,12,75.08783316733927,246,0.008258848851312154,162.77764805093452,0.7369077265870476,0.7877438244905806,0.264406,43980
52,gbtree,0.6221608872690398,0.912914490958457,0.29483930042524376,15,6.481308817723166,455,459.2708472109953,0.002771911679709473,0.25911585601736226,0.5,0.287555,43980
53,gbtree,0.7020464640672508,0.5636328518142186,0.3100886591064913,10,89.36008350104638,1112,0.8323815794816474,255.23960446765452,0.6423233831276116,0.8058123077662437,0.802139,43980
54,gbtree,0.42190494638490617,0.6961060782412294,0.001028125815872733,14,58.86840760378554,100,0.0018287555028564293,0.6056063630945983,0.962808613057419,0.810206813485198,0.183074,43980
55,gbtree,0.6288770930752963,0.7585293712157961,0.012657977786405617,15,126.24876454890956,713,0.011931755297303573,76.34315752440783,0.30830097772373866,0.5,0.417074,43980
56,gbtree,0.690732156748632,0.7805756067106879,0.0003852618192798649,13,121.62458898807435,1373,0.06398901717509341,394.7943239814269,0.9331953883703819,0.7797747020376778,1.038813,43980
57,gbtree,0.3203335128828226,0.9898209034519556,0.00014550581922833264,6,103.94027300929278,1734,0.9686867545575826,0.19290573525423366,0.269775230872939,0.5,0.870373,43980
58,gbtree,0.2451003973207417,0.41872565754456503,0.10798486283466889,8,53.68207679688348,1941,63.33676297173506,75.40602622541995,0.8787465285333533,0.7994939206074587,0.977842,43980
59,gbtree,0.39787848139455817,0.8797179125419292,0.38899648471342585,12,120.98524769506835,2000,0.10539553995365257,0.005956024710686483,0.6665737792019706,0.7893882160707419,1.325377,43980
60,gbtree,0.2908460737597032,0.48653017442627244,0.015257289909878574,11,79.50228653815277,1909,3.2045412606069203,1.3238726356442903,0.421482104127597,0.7933982783064206,1.29917,43980
61,gbtree,0.5227862929699176,0.9013228821266761,0.007475842382198888,9,72.23912238499406,1547,0.0007927647781092645,0.0014883191091511617,0.8891361252389051,0.8400425437331794,1.448915,43980
62,gbtree,0.4804700470452776,0.21163573253430557,0.017155059045048583,4,18.31917739951976,1513,0.9076470821832772,0.2256650333265362,0.7780598260744177,0.8591962346212995,1.609501,43980
63,gbtree,0.6976693601822987,0.5172342258570162,0.18064829179491781,8,100.52393261812517,881,61.07042277693579,497.87892360056696,0.5111916002674752,0.7648994857747021,0.524731,43980
64,gbtree,0.5940944751942957,0.9840260602283817,0.21758262555515984,4,59.310241042259186,302,0.016057698655262378,6.315461993576113,0.6190872198096536,0.8360615027873894,0.299142,43980
65,gbtree,0.7126997958425718,0.31106173811952814,0.00018761357496684583,2,20.291642076061382,488,0.0016606671189416636,0.11857788502887923,0.3466597914329869,0.7979743968665898,0.416874,43980
66,gbtree,0.33514805045773166,0.2326948930131831,0.0050961037585747,3,25.420705388701187,1795,0.007398399744754436,0.011536203425923774,0.7506683038907704,0.8438951965590158,1.543457,43980
67,gbtree,0.7523158629034923,0.6027338166838856,0.00027198042295441775,4,47.26227235310559,186,0.00018355057905825302,62.58386687830315,0.5955840760245443,0.7984238574106113,0.224835,43980
68,gbtree,0.8449610238344492,0.421502118517763,0.00019701574620112778,14,8.756900901567697,1260,10.47794860077498,0.012797528816608028,0.905183968080083,0.8304637639369474,1.982655,43980
69,gbtree,0.7979767505070052,0.5700277729065184,0.002160044704113303,10,47.85203222536109,426,0.00017624528656875983,0.032705565748799785,0.613392238893266,0.813306000096117,0.497109,43980
70,gbtree,0.6260938131640186,0.5579298934587638,0.16772149852447887,8,14.610845440151559,1430,0.0042344798096855835,0.041253365603554956,0.6337580815867496,0.8725058631295657,1.692305,43980
71,gbtree,0.912421824591916,0.295809705455401,0.00011811298858330202,4,42.59216372659516,761,0.9606651092617312,11.874461257434692,0.4915593741873837,0.7943322339965397,0.720994,43980
72,gbtree,0.5453276369837435,0.796351579347464,0.006243364674054272,9,75.52882198865164,1581,0.0007177458550727617,0.05042610627702666,0.31519021606556774,0.7686033676951173,0.890998,43980
73,gbtree,0.3897814333887956,0.6846198554855097,0.021214492784132802,6,126.28743659670842,732,0.00048182140101366174,0.00826332501962661,0.6780837285016839,0.7940115640618993,0.538838,43980
74,gbtree,0.26418699652931377,0.9174123397011402,0.0003791263292274188,5,23.018446602433862,499,0.33043687798514765,0.28998862446566814,0.3899252680384793,0.8138110702614381,0.616975,43980
