dataset,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model__eta,param_model__max_depth,param_model__min_child_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.7606619834899903,0.02265137378831755,0.03788914680480957,0.009663832150999887,3.963066389815045,0.07118528947223794,12,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.07118528947223794, 'model__max_depth': 12, 'model__min_child_weight': 1}",0.9373251638257301,0.9280715509481081,0.9109388158085779,0.9000300064852726,0.9232221157475972,0.9199175305630571,0.013088658908201291,57
0,0.7562056541442871,0.014618067965717242,0.028323984146118163,0.0010947136110512209,3.963066389815045,0.023949386065204185,12,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.023949386065204185, 'model__max_depth': 12, 'model__min_child_weight': 1}",0.9253516082508155,0.9198149277424476,0.9054698918798579,0.8931623931623931,0.9161947904869763,0.911998722304498,0.011440564155661371,171
0,0.7692003726959229,0.014131042234743596,0.030900192260742188,0.003111600367632485,3.963066389815045,0.03921446485352182,12,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.03921446485352182, 'model__max_depth': 12, 'model__min_child_weight': 1}",0.934082527514011,0.9254096853190851,0.9068347029841934,0.892320275672484,0.9208699944826785,0.9159034371944903,0.014723601577729254,140
0,0.7592809200286865,0.00723704471832228,0.02965846061706543,0.0020865176013199643,3.963066389815045,0.046636184329369175,12,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.046636184329369175, 'model__max_depth': 12, 'model__min_child_weight': 1}",0.9378962549970479,0.9266873808210161,0.9111324060361433,0.8967389726166622,0.9195826194693693,0.9184075267880477,0.013944181400528992,102
0,0.7675255298614502,0.020101950394298372,0.027944612503051757,0.0016068296818267597,3.963066389815045,0.0556069984217036,12,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.0556069984217036, 'model__max_depth': 12, 'model__min_child_weight': 1}",0.9366766365633863,0.9270939202989034,0.9090222725556814,0.895703264899188,0.9233963469524059,0.9183784882539131,0.01440600166307689,103
0,0.7433765888214111,0.0158406664877218,0.03026885986328125,0.005843622857408594,3.963066389815045,0.08851759613930137,12,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.08851759613930137, 'model__max_depth': 12, 'model__min_child_weight': 1}",0.9382059993611522,0.9312948282370705,0.9094481710563251,0.9025369999322433,0.9231737181907057,0.9209319433554993,0.013274478657415998,13
0,0.7601058006286621,0.016984483016489367,0.03235602378845215,0.006091908974947986,3.963066389815045,0.029967378215835977,12,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.029967378215835977, 'model__max_depth': 12, 'model__min_child_weight': 1}",0.9305301468381875,0.9230140062529644,0.9066798308021411,0.8924315900533342,0.9186049888201644,0.9142521125533584,0.013372863315455449,156
0,0.7619802951812744,0.022048213840331673,0.03215303421020508,0.007050364258405967,3.963066389815045,0.06142344384136116,12,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.06142344384136116, 'model__max_depth': 12, 'model__min_child_weight': 1}",0.938157601804261,0.9281683460618908,0.9081027189747461,0.8973584613448714,0.9229607689403838,0.9189495794252306,0.01451794878716208,89
0,0.7721833229064942,0.02553231152153651,0.026357269287109374,0.004531923998641038,3.963066389815045,0.06924145688620424,12,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.06924145688620424, 'model__max_depth': 12, 'model__min_child_weight': 1}",0.9377317033036172,0.9271132793216598,0.908712528191577,0.8979198730048107,0.9243062210219628,0.9191567209687255,0.014106303658805535,88
0,0.7465664386749268,0.01910279475217846,0.029397344589233397,0.0015994011058467375,3.963066389815045,0.014645041271999773,12,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.014645041271999773, 'model__max_depth': 12, 'model__min_child_weight': 1}",0.9148590179167755,0.9170804657780876,0.9019513894938583,0.893302746077378,0.9071880051495,0.90687632488312,0.008676889468541837,189
0,0.7597979068756103,0.022263576423972344,0.026947402954101564,0.004122128455939914,3.963066389815045,0.07075448519014384,12,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.07075448519014384, 'model__max_depth': 12, 'model__min_child_weight': 1}",0.9359216346758815,0.9301332868716787,0.908431822361607,0.9002042376900813,0.923115641122436,0.9195613245443368,0.013346324825261758,71
0,0.7529398918151855,0.01247652739893143,0.033150768280029295,0.009147367839872902,3.963066389815045,0.027052412368729156,12,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.027052412368729156, 'model__max_depth': 12, 'model__min_child_weight': 1}",0.9282457821529169,0.921508842233644,0.9061087396308234,0.8911732535741598,0.9191422017016582,0.9132357638586404,0.013161909568019403,162
0,0.7587130546569825,0.016077564269673016,0.030580854415893553,0.0021630573678666173,3.963066389815045,0.01650515929852795,12,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.01650515929852795, 'model__max_depth': 12, 'model__min_child_weight': 1}",0.9168578370163875,0.91684331774932,0.9022901723920976,0.891947614484421,0.9094094530108121,0.9074696789306076,0.00946073055406969,186
0,0.681787633895874,0.04634117288598095,0.031671571731567386,0.00825531481618925,3.963066389815045,0.10488855372533333,12,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.10488855372533333, 'model__max_depth': 12, 'model__min_child_weight': 1}",0.9391352324534658,0.9308495707136704,0.9081123984861244,0.9014528946578777,0.923948079100967,0.9206996350824209,0.01401656430362522,21
0,0.6858145713806152,0.03204598829845707,0.03098912239074707,0.006479441601987021,3.963066389815045,0.10656320330745593,12,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.10656320330745593, 'model__max_depth': 12, 'model__min_child_weight': 1}",0.9375671516101867,0.9291943742679869,0.9129908722207702,0.9028080262508347,0.9252838516711677,0.9215688552041893,0.01227555068187987,4
0,0.7353150844573975,0.016745289123723084,0.03473033905029297,0.010734179382228294,3.963066389815045,0.09083973481164612,12,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.09083973481164612, 'model__max_depth': 12, 'model__min_child_weight': 1}",0.9365701619382253,0.9299300171327352,0.9106193919330953,0.8991975685067418,0.9222444850983922,0.9197123249218379,0.013405494390405216,65
0,0.7965930938720703,0.024562840367403544,0.03250408172607422,0.009677305685026262,3.963066389815045,0.04046137691733707,12,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.04046137691733707, 'model__max_depth': 12, 'model__min_child_weight': 1}",0.9344019513894939,0.9241126307943975,0.9083059887136897,0.8947837113182525,0.9189534512297819,0.916111546689123,0.013582606298468997,138
0,0.7796321392059327,0.02244425916654263,0.033872461318969725,0.003475557654113239,3.963066389815045,0.01976721140063839,12,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.01976721140063839, 'model__max_depth': 12, 'model__min_child_weight': 1}",0.9211507003126482,0.9186824249111903,0.9053730967660751,0.8923251154281733,0.9116018623379892,0.9098266399512152,0.010353241930735993,179
0,0.741276216506958,0.017411481899698083,0.03596925735473633,0.009309046008639195,3.963066389815045,0.07842330265121569,12,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.07842330265121569, 'model__max_depth': 12, 'model__min_child_weight': 1}",0.9401225426140488,0.9305204673268094,0.9071250883255413,0.8993427611774157,0.9218282661091268,0.9197878251105884,0.014907711336582606,63
0,0.797678804397583,0.02783475378716447,0.031264972686767575,0.006225251356170133,3.963066389815045,0.054015249373960135,12,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.054015249373960135, 'model__max_depth': 12, 'model__min_child_weight': 1}",0.937576831121565,0.9254484033645982,0.9077639360765067,0.8976585261975976,0.924674042454337,0.918624347842921,0.014141268557531827,98
