trial,bootstrap,criterion,max_features,max_samples,min_samples_leaf,n_estimators,value,time,dataset
78,True,log_loss,0.14842380998617244,0.999065237912895,0.06939785749930989,862,0.7533333333333332,3.139495,31
79,True,log_loss,0.20507997482738138,0.9585307897373669,0.057126125043318786,919,0.7525714285714287,3.384731,31
80,True,entropy,0.18447018628757178,0.9491740606801989,0.08865026311350316,884,0.7501428571428572,3.055635,31
81,True,log_loss,0.10285383809562554,0.9817161241620657,0.07830564716811936,956,0.7603095238095239,3.138755,31
82,True,log_loss,0.12266130362009481,0.9788622954698083,0.07073507570179913,956,0.757904761904762,3.240963,31
83,True,log_loss,0.1014396362211246,0.9681925910997027,0.0632351414969764,983,0.7602380952380953,3.398437,31
84,True,log_loss,0.1531995252121405,0.9631987971882214,0.05082420461269404,985,0.756952380952381,3.669172,31
85,True,log_loss,0.11974987313423827,0.9432707463985621,0.06170352520002302,975,0.7581904761904762,3.351335,31
86,True,log_loss,0.15855346503911927,0.9268799141401196,0.06321761768331718,838,0.7557857142857143,3.003785,31
87,True,log_loss,0.186803138442453,0.9698167564040311,0.09558989813796748,783,0.7503333333333334,2.763775,31
88,True,log_loss,0.14928179397540084,0.5314065839402675,0.0783584217208907,901,0.7504761904761905,2.981969,31
89,True,log_loss,0.40622250257617,0.990661739235981,0.05750356885429542,818,0.7455238095238095,3.358745,31
90,True,log_loss,0.22168935138644114,0.9560419346408727,0.08645990409440375,959,0.7492142857142857,3.452224,31
91,True,log_loss,0.10188334560546493,0.9980325429798411,0.06968464142857375,925,0.7586904761904762,3.090212,31
92,True,log_loss,0.12363379871658672,0.984259877509301,0.06531499874230316,861,0.7582142857142857,2.997043,31
93,True,log_loss,0.1258810232087667,0.9762624597939097,0.07414615191322549,1000,0.7557142857142857,3.445834,31
94,True,entropy,0.14913382774366138,0.9451784209008802,0.0812222220228821,910,0.751452380952381,3.218743,31
95,True,log_loss,0.10110717857571684,0.9248532560729698,0.055422552738292,880,0.7627857142857143,3.009246,31
96,True,log_loss,0.8360415982864505,0.9068580862161011,0.0536296967392956,887,0.7399761904761906,4.388572,31
97,True,log_loss,0.12181923224957587,0.9210871525899244,0.05902835022705945,967,0.7599761904761905,3.349297,31
98,True,log_loss,0.1372734446670196,0.9349197889824515,0.05858393960641864,970,0.7560714285714285,3.431605,31
99,True,log_loss,0.19940870755245801,0.9598593467984249,0.15102744324200346,934,0.7421071428571429,3.161043,31
100,True,gini,0.30287116337610653,0.7806744878852863,0.07099541673702181,303,0.745047619047619,1.130663,31
101,True,log_loss,0.16110105631487423,0.8939370292488552,0.11353611932399287,67,0.7423928571428572,0.241512,31
102,True,entropy,0.4639249247735906,0.6617522009045503,0.15592610309635052,744,0.7256785714285716,2.544983,31
103,True,entropy,0.44586599805346105,0.8386276848658687,0.12753325705315677,300,0.7359285714285715,1.114562,31
104,True,entropy,0.41290778659317595,0.8402180788201157,0.07331123909034237,342,0.7437619047619048,1.362986,31
105,True,entropy,0.46617335683871475,0.5468576216581333,0.21115858174099644,710,0.5551666666666667,2.268958,31
106,True,gini,0.22196443973927257,0.5159938561183082,0.1014184036728759,201,0.7417023809523811,0.680415,31
107,True,log_loss,0.4128401743106659,0.9486542612320713,0.1257539461007059,78,0.7362976190476191,0.315355,31
108,True,gini,0.544126852570816,0.5814588773373881,0.07535702950045563,655,0.733904761904762,2.495219,31
109,True,gini,0.8825404032030679,0.6559750103529127,0.10625563095780682,947,0.7272857142857143,3.738099,31
110,True,gini,0.7091410198547147,0.7469016996685731,0.17932029930336407,401,0.7239166666666668,1.441553,31
111,True,entropy,0.2667291865007467,0.7982073514005891,0.050816762964601206,450,0.7516428571428572,1.721065,31
112,True,entropy,0.2616931127812442,0.7589048472268904,0.06109069732889127,547,0.7487380952380953,2.033744,31
113,True,entropy,0.11273199072478779,0.7097144205780229,0.05274843088606079,516,0.7577857142857143,1.762405,31
114,True,entropy,0.10979784463979682,0.6906459684692283,0.050015904798824264,499,0.7545952380952381,1.699036,31
115,True,entropy,0.10291444090742342,0.6805101809645757,0.23542093333880204,577,0.5601071428571429,1.831108,31
116,True,log_loss,0.14078036361192398,0.6121619427007947,0.09014917638645817,856,0.7487142857142857,2.822644,31
117,True,entropy,0.6047469695705677,0.7113594017090461,0.15228372843599403,498,0.733,1.830326,31
118,True,entropy,0.35422239821002355,0.6109347705139843,0.050662308188790306,620,0.7482857142857143,2.349903,31
119,True,entropy,0.19409143100503673,0.7205743914203884,0.18014948914627046,785,0.7177142857142857,2.498385,31
120,True,log_loss,0.7064198741828329,0.9933288254805117,0.08342441724049646,162,0.7349761904761906,0.730293,31
121,True,entropy,0.10189877498888539,0.7963985611045205,0.05457997566892865,428,0.7631428571428571,1.443431,31
122,True,entropy,0.11005823119108625,0.824065512620572,0.06180228656329861,475,0.7625000000000001,1.612487,31
123,True,entropy,0.2084143672880096,0.8341727830895314,0.09002128975179578,394,0.7480357142857142,1.438798,31
124,True,entropy,0.2971119377938389,0.8962148391941396,0.06870698317595084,202,0.747452380952381,0.843232,31
125,True,entropy,0.10114314542385502,0.8830818828177861,0.09324672090332246,439,0.7569285714285714,1.516385,31
126,True,entropy,0.3346184855318945,0.8049286719598586,0.11660634742409248,622,0.7389642857142857,2.32961,31
127,True,entropy,0.1788709213982298,0.7460347611894824,0.06494097259376465,342,0.7539761904761905,1.271053,31
128,True,entropy,0.1543119824262006,0.9297311013778465,0.13703440582822463,529,0.7466666666666667,1.823856,31
129,True,log_loss,0.2453855370338878,0.788503583882089,0.07809409907307281,280,0.7497142857142858,1.00504,31
130,True,gini,0.36731169279105486,0.8617121990513242,0.062042417526359514,447,0.7453333333333333,1.747851,31
131,True,entropy,0.10069872786744412,0.8748147763945671,0.09612454328254375,435,0.757095238095238,1.45518,31
132,True,entropy,0.1585996921432795,0.811723465635668,0.06242143502900733,346,0.7560714285714285,1.224827,31
133,True,entropy,0.14684317928462834,0.929551948834769,0.10024960303304738,579,0.7507619047619049,2.003891,31
134,True,entropy,0.19800393880440215,0.77042266201678,0.08275175406542463,266,0.7480476190476191,0.941022,31
135,True,entropy,0.2875594360865197,0.8618141548856997,0.07406417322917405,487,0.7462380952380951,1.835152,31
136,True,entropy,0.10148127719097438,0.8260924810379604,0.05877531986780657,681,0.7600714285714286,2.314251,31
137,True,entropy,0.2307462696271551,0.8315444962651605,0.16984528593428913,712,0.73,2.383513,31
138,True,log_loss,0.1501194477202058,0.7213225352545973,0.11155047750226456,793,0.7481904761904761,2.640955,31
139,True,entropy,0.19256951551803447,0.7804976264978485,0.0583401418634639,638,0.7523333333333333,2.293059,31
140,True,gini,0.8919366810819179,0.6435569648714311,0.07052531124023406,691,0.7245,2.949773,31
141,True,entropy,0.11319364209566622,0.8652280153344751,0.056514886577625066,399,0.7577857142857143,1.406717,31
142,True,entropy,0.13434063011219052,0.9077146959126048,0.05502782184389004,375,0.7583333333333333,1.39673,31
143,True,entropy,0.22448878578419224,0.9112107525676135,0.06990177954165916,366,0.7502142857142857,1.390113,31
144,True,entropy,0.14333448093806814,0.8214833573477271,0.08467369004901938,241,0.7528095238095238,0.837558,31
145,True,entropy,0.5169380016521441,0.7399563407058153,0.056314234855195044,580,0.7441428571428571,2.39176,31
146,True,entropy,0.14268800125082057,0.8471319697098205,0.05066239567615658,922,0.7587857142857144,3.254734,31
147,True,gini,0.8337597248083757,0.9738171946828196,0.20302860501111192,897,0.7286547619047619,3.369645,31
148,True,entropy,0.25635437913332004,0.893902977146337,0.07699603500513028,957,0.7484999999999999,3.550998,31
149,True,log_loss,0.176320486969617,0.839945084961797,0.1380440476020426,11,0.7153095238095238,0.069042,31
150,True,entropy,0.42678391774115515,0.9550395700727777,0.06438039253652676,877,0.7442142857142857,3.615844,31
151,True,entropy,0.13714682219696378,0.849711058344701,0.05120184529009727,987,0.7591190476190477,3.44217,31
152,True,entropy,0.13186503436658786,0.8508861824006839,0.05005274772005978,975,0.7603333333333333,3.472202,31
153,True,entropy,0.172759573746479,0.8468437344848525,0.05015678317693308,983,0.7564285714285715,3.581581,31
154,True,entropy,0.1273174762773443,0.7989814760143421,0.06925512867601724,999,0.7563095238095237,3.39689,31
155,True,entropy,0.5871481365517013,0.766584800946443,0.061289801784528565,928,0.7397857142857143,3.864476,31
156,True,entropy,0.23065009395229985,0.8522330189429593,0.07995231664559638,827,0.7485,2.981524,31
157,True,gini,0.2056101234552027,0.8073630713553543,0.05100877146588185,922,0.7541666666666667,3.31028,31
158,True,entropy,0.3261527717689727,0.8252310126170007,0.08760661632315947,834,0.7446904761904761,3.051391,31
159,True,entropy,0.1285355794487545,0.7847634833893753,0.06748832658864538,951,0.7542857142857142,3.347276,31
160,True,entropy,0.26866533838805184,0.8206535826481771,0.23635124153912002,738,0.6199047619047618,2.421178,31
161,True,entropy,0.13101684049066958,0.9097618470581863,0.05470726050597911,323,0.7563809523809523,1.154403,31
162,True,entropy,0.1736078913597145,0.8911423499698239,0.06031858525631617,900,0.7538571428571429,3.14957,31
163,True,entropy,0.12411037008739141,0.8769443305300137,0.07457563355196992,964,0.7558333333333332,3.226456,31
164,True,entropy,0.10631748684328013,0.8442804098391402,0.05744909801070428,803,0.7593809523809524,2.768613,31
