Zbiór danych,Model,Metoda,Run,Najlepsze parametry
Titanic,Random Forest,Grid Search,3,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200}"
Titanic,Random Forest,Random Search,1,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 1, 'classifier__max_depth': 5}"
Titanic,Random Forest,Random Search,2,"{'classifier__n_estimators': 200, 'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 1, 'classifier__max_depth': None}"
Titanic,Random Forest,Random Search,3,"{'classifier__n_estimators': 200, 'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 1, 'classifier__max_depth': None}"
Titanic,Random Forest,Bayesian Search,1,"OrderedDict([('classifier__max_depth', 12), ('classifier__min_samples_leaf', 1), ('classifier__min_samples_split', 2), ('classifier__n_estimators', 100)])"
Titanic,Random Forest,Bayesian Search,2,"OrderedDict([('classifier__max_depth', 6), ('classifier__min_samples_leaf', 1), ('classifier__min_samples_split', 2), ('classifier__n_estimators', 296)])"
Titanic,Random Forest,Bayesian Search,3,"OrderedDict([('classifier__max_depth', 15), ('classifier__min_samples_leaf', 1), ('classifier__min_samples_split', 10), ('classifier__n_estimators', 100)])"
Titanic,Logistic Regression,Grid Search,1,"{'classifier__C': 10, 'classifier__penalty': 'l2', 'classifier__solver': 'lbfgs'}"
Titanic,Logistic Regression,Grid Search,2,"{'classifier__C': 1, 'classifier__penalty': 'l2', 'classifier__solver': 'saga'}"
Titanic,Logistic Regression,Grid Search,3,"{'classifier__C': 0.1, 'classifier__penalty': 'l2', 'classifier__solver': 'lbfgs'}"
Titanic,Logistic Regression,Random Search,1,"{'classifier__solver': 'lbfgs', 'classifier__penalty': 'l2', 'classifier__C': 10}"
Titanic,Logistic Regression,Random Search,2,"{'classifier__solver': 'saga', 'classifier__penalty': 'l2', 'classifier__C': 1}"
Titanic,Logistic Regression,Random Search,3,"{'classifier__solver': 'lbfgs', 'classifier__penalty': 'l2', 'classifier__C': 0.1}"
Titanic,Logistic Regression,Bayesian Search,1,"OrderedDict([('classifier__C', 0.022857670572928663), ('classifier__penalty', 'l2'), ('classifier__solver', 'lbfgs')])"
Titanic,Logistic Regression,Bayesian Search,2,"OrderedDict([('classifier__C', 1.0278008866320525), ('classifier__penalty', 'l2'), ('classifier__solver', 'saga')])"
Titanic,Logistic Regression,Bayesian Search,3,"OrderedDict([('classifier__C', 0.042193593775821506), ('classifier__penalty', 'l2'), ('classifier__solver', 'saga')])"
Titanic,XGBoost,Grid Search,1,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 300, 'classifier__subsample': 0.6}"
Titanic,XGBoost,Grid Search,2,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 300, 'classifier__subsample': 0.6}"
Titanic,XGBoost,Grid Search,3,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 300, 'classifier__subsample': 0.6}"
Titanic,XGBoost,Random Search,1,"{'classifier__subsample': 0.6, 'classifier__n_estimators': 300, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.01}"
Titanic,XGBoost,Random Search,2,"{'classifier__subsample': 0.6, 'classifier__n_estimators': 300, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.01}"
Titanic,XGBoost,Random Search,3,"{'classifier__subsample': 0.6, 'classifier__n_estimators': 300, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.01}"
Titanic,XGBoost,Bayesian Search,1,"OrderedDict([('classifier__learning_rate', 0.027739843937365116), ('classifier__max_depth', 3), ('classifier__n_estimators', 300), ('classifier__subsample', 0.5)])"
Titanic,XGBoost,Bayesian Search,2,"OrderedDict([('classifier__learning_rate', 0.02884451264166195), ('classifier__max_depth', 3), ('classifier__n_estimators', 233), ('classifier__subsample', 0.5)])"
Titanic,XGBoost,Bayesian Search,3,"OrderedDict([('classifier__learning_rate', 0.0579121298419212), ('classifier__max_depth', 3), ('classifier__n_estimators', 298), ('classifier__subsample', 0.801716889961031)])"
